disease,symptoms_causes,diagnosis,tests,treatment,prevention,source_url
Nearsightedness,aware of distant; Blinking; Blurry; Blurry vision; Constant; Constant squinting; distant objects; Eyestrain; Headaches; objects; Rubbing; Rubbing the eyes; screens; squint or partially; squinting,a basic eye exam; a better view; a light; a special lens; ages; any medicines; basic eye; basic eye exam; drops; end of high; Every 1 to 3 years; Every 2 to 4 years; eye exam; high school; kindergarten; Nearsightedness; Nearsightedness is diagnosed; the condition; the end; the inner eye; the retina and optic nerve; The specialist; years; years after age; years from ages; your child; Your eye care specialist; your eyes; your medical history,a device; a distance; A visual acuity test; an appropriate prescription; an eye chart; called peripheral vision; different lenses; different sizes; Eye; eye chart; Eye movement; lenses; letters; movement; one eye; peripheral vision; Pressure; pupil; pupils to light; read an eye; Side vision; symbols; test; The condition; the cornea; the eye; the eye care specialist; the other eye; the pupils; The response; this test; vision problems; your vision,A rigid contact lens; A type; Atropine; Atropine drops; Atropine.; childhood; complications; corrective lenses; dual focus contact lens; Dual focus contact lenses; Dual focus contact lenses.; eye surgery; focus light; Increased time; Increased time outside.; LASIK eye; LASIK eye surgery; Managing nearsightedness; nearsightedness; night; Orthokeratology; Orthokeratology.; refractive surgery; regular monitoring; the pupil; The standard goal; time; vision; your retina,Care for prescription; computer; contact lenses; Control health conditions; diabetes; Eat healthy; Eat healthy foods; exercise; eye exams; good lighting; healthy foods; high blood pressure; lighting when reading; other close-up work; prescription corrective lenses; prescription glasses; Protect your eyes; protective eyewear; reading and working; regular,https://www.mayoclinic.org/diseases-conditions/nearsightedness/symptoms-causes/syc-20375556
Neck pain,Decreased ability; Headache; long periods; move the head; Muscle tightness; one place; spasms; the head; tightness and spasms; bone; Certain diseases; Diseases; Diseases.; Herniated disks; Injuries,a medical history; an exam; health care; health care provider; muscle weakness; numbness; tenderness; The exam; your head; Your health care provider,a strong magnetic field; An EMG; areas; Blood tests; Blood tests.; CT scan; CT scan.; Electromyography; Electromyography (EMG).; EMG; evidence; inflammation; Lumbar; Lumbar puncture; many different directions; MRI; MRI.; radio waves; rays; scan; spinal tap; the neck; X-ray; X-ray images; X-rays.,A physical therapist; A soft collar; common types; correct posture; Electrodes; heat; moderate neck pain; neck pain; Pain relievers; Physical therapy; Physical therapy.; self-care; Soft neck collar; Soft neck collar.; TENS; The most common types; the neck; the use; Transcutaneous electrical nerve stimulation; Transcutaneous electrical nerve stimulation (TENS).; two or three weeks; weeks to self-care,"a healthy position; a straight line; Alternate heat and cold.; an ice pack; chair; computer; daily gentle stretching; frequent breaks; good posture; heat; heavy bags; Home exercises; Home exercises.; If you smoke, quit.; inflammation; long distances; neck; neck pain; Sleep in a healthy position.; Smoking; Stay; Stay active; Stay active.; straps; Take frequent breaks.; the neck; the risk; Use good posture.",https://www.mayoclinic.org/diseases-conditions/neck-pain/symptoms-causes/syc-20375581
Nephrogenic systemic fibrosis,"""woody; (sclera; an orange-peel appearance; areas; blisters or ulcers; Bone pain; hardening; heart, lung, diaphragm, gastrointestinal tract; itching; joint motion; Limitation; liver; loss; movement; Muscle",A sample; A sample of tissue (biopsy); biopsy; involvement; Mayo Clinic; muscles; Nephrogenic systemic fibrosis; Nephrogenic systemic fibrosis care; Other tests; Other tests as needed; Physical exam; signs; Skin; Skin biopsy; symptoms; tissue,,(Pentoxil; advanced chronic kidney disease; appropriate candidates; Extracorporeal photopheresis; Extracorporeal photopheresis with ultraviolet A.; Gleevec; Hemodialysis; Hemodialysis.; High-dose intravenous immune globulin; High-dose intravenous immune globulin.; Imatinib; Imatinib (Gleevec).; improvement; Kidney; Kidney transplant; Kidney transplant.; limited success; Mayo Clinic; Nephrogenic systemic fibrosis; Nephrogenic systemic fibrosis care,Avoidance; contrast agents; gadolinium-based contrast agents; group; increased risk; nephrogenic systemic fibrosis; newer gadolinium-based contrast agents; older gadolinium-based contrast; older gadolinium-based contrast agents; preventing nephrogenic systemic,https://www.mayoclinic.org/diseases-conditions/nephrogenic-systemic-fibrosis/symptoms-causes/syc-20352299
Nephrotic syndrome,amyloid proteins; Amyloidosis; Amyloidosis.; Diabetes; Diabetic kidney disease; Diabetic kidney disease.; Focal segmental glomerulosclerosis; Focal segmental glomerulosclerosis.; kidney damage; Membranous nephropathy; Membranous nephropathy.; Minimal change disease; Minimal change disease.; nephrotic syndrome; serious kidney damage,,,,,https://www.mayoclinic.org/diseases-conditions/nephrotic-syndrome/symptoms-causes/syc-20375608
Neuroblastoma,"a bowel movement; A lump; Back; Back pain; Belly; Belly pain; Bone pain; breathing; Changes; constipation; Dark, bruiselike circles; Diarrhea; Diarrhea or constipation; Difficulty; Difficulty breathing",a growth; A healthcare professional; a neuroblastoma; A neuroblastoma diagnosis; a physical exam; blood tests; clues; health history; healthcare professional; Imaging tests; neuroblastoma; questions; signs; signs of neuroblastoma; The healthcare professional; Urine; your child; your child's symptoms,A healthcare; blood; chemicals; high levels; neuroblastoma cells; the healthcare; The results; Urine tests; your child's condition; your child's urine,(Iwilfin; a combination; a medicine; a newer form; a pill; a radioactive substance; a treatment; a treatment plan; a type; a vein; Biological therapy; Bone marrow; Bone marrow transplant; cancer; cancer cells; Cancer treatment; CAR-T; CAR-T cell; CAR-T cell therapy; CAR-T cell therapy.; care at Mayo; cell therapy; chemotherapy; Children; chimeric antigen receptor; diseases; Eflornithine; energy; extra treatment; germs; Healthcare teams; healthy tissue; high-risk neuroblastoma; Immunotherapy; intermediate-risk neuroblastoma; Many chemotherapy medicines; many things; marrow transplant; Mayo Clinic; medicines; Most chemotherapy medicines; neuroblastoma; Neuroblastoma care; other cells; other sources; other treatments; pill form; powerful energy beams; Proton beams; Proton therapy; protons; radiation therapy; rays; strong medicines; surgery; the body; the body's immune system; the cancer; the cancer cells; the child's age; The energy; The immune system; the risk; Treatments; two years,,https://www.mayoclinic.org/diseases-conditions/neuroblastoma/symptoms-causes/syc-20351017
Neurodermatitis,"An itchy; Discolored; genital skin; leathery skin; Open; Open sores; patches; Raised, rough patches; scaly skin patch; sores that bleed; the rest; the skin; Thick; Thick, leathery skin; wrinkled genital skin",a laboratory; a microscope; a small sample; biopsy; neurodermatitis; other conditions; Skin; Skin biopsy; the affected skin; This test; your health care provider; your skin; your symptoms,,a counselor; a store; Anti-anxiety drugs; Anti-anxiety drugs.; Anti-itch creams; Anti-itch creams.; anxiety; behavioral therapy; Cognitive behavioral; Cognitive behavioral therapy; corticosteroid cream; Corticosteroid injections; Corticosteroid injections.; corticosteroids; itching; Light therapy; Light therapy.; Medicated patches; Medicated patches.; Medicine,"a lotion; a recurrence; an anti-itch cream; Apply cool, wet cloths.; Avoid triggers; Avoid triggers.; Bandages; calamine lotion; cool, wet cloths; Cover the affected area.; dressings; Keep your nails trimmed.; less damage; lotions; nonprescription medications; Notice; Short nails; short, warm baths; Stop rubbing and scratching.; the affected area",https://www.mayoclinic.org/diseases-conditions/neurodermatitis/symptoms-causes/syc-20375634
Neuroendocrine tumors,A growing lump; a growing tumor; Diarrhea; Dizziness; Feeling unusually; Feeling unusually tired; flushing; Frequent; Frequent urination; growing lump; growing tumor; Increased; Increased thirst; Losing; Losing weight,a sample; cells; excess hormones; Imaging tests; Imaging tests.; MRI; Physical exam; Physical exam.; Procedures; Tests; ultrasound; your body; Your doctor,,a drug; care; Chemotherapy; Chemotherapy.; excess hormones; Mayo Clinic; Medications; Medications to control excess hormones.; Neuroendocrine tumors; Neuroendocrine tumors care; Palliative; Palliative care; Peptide receptor radionuclide therapy; Peptide receptor radionuclide therapy (PRRT).; powerful energy beams; PRRT; Radiation; Radiation therapy; Radiation therapy.; Radiopharmaceuticals,,https://www.mayoclinic.org/diseases-conditions/neuroendocrine-tumors/symptoms-causes/syc-20354132
Neurofibroma,A bump; a large neurofibroma; appearance; Bleeding; Numbness; Numbness or weakness; Pain; The bump; the face; the skin; Tingling; weakness; a genetic condition; A neurofibroma; about half,a CT or MRI scan; a neurofibroma; a physical exam; an imaging test; Imaging; professional; the location; the tumor; your healthcare; your medical history,,a clinical trial; a plexiform neurofibroma; an experimental treatment; Clinical trials; Clinical trials.; Medicine; Monitoring; Monitoring.; professional; Selumetinib; Surgery; Surgery to remove the tumor.; Symptoms; the tumor; Your healthcare,,https://www.mayoclinic.org/diseases-conditions/neurofibroma/symptoms-causes/syc-20573693
Neurofibromatosis type 1,"ages; average head size; Bone changes; Bone changes.; bone development; cafe au lait spots; Changes; children; Flat, light brown spots; Freckling; Larger than average head size.; Learning disabilities; Learning disabilities.; neurofibromas; NF1",An eye exam; CT scans; Eye exam; Eye exam.; Genetic testing; Genetic tests; Genetic tests.; Imaging tests; Imaging tests.; Lisch nodules; MRIs; NF1,,a cure; a good outcome; a specialist; Cancers; chemotherapy; cure for neurofibromatosis; Early diagnosis; gene therapies; managed; neurofibromatosis type; neurofibromin; NF1; Potential new treatments; radiation therapy; Researchers; Researchers are testing; standard cancer therapies; surgery; symptoms; testing gene therapies; the care; the function; the most important factors; the NF1 gene; trained in treating; treatment; type,,https://www.mayoclinic.org/diseases-conditions/neurofibromatosis-type-1/symptoms-causes/syc-20350490
Neuromyelitis optica,A tingling feeling; Blurred vision; bowel; color; Eye; Eye pain; Hiccups; legs; loss; Nausea; Nausea and vomiting; numbness; pain; the arms; the bladder,A healthcare; a magnetic field and radio waves; A neurologist examines movement; a spinal tap; Blood tests; Blood tests.; care at Mayo; examinations; Lumbar; Lumbar puncture; Mayo Clinic; MRI; MRI .; muscle strength; Neurological; Neurological exam; Neurological exam.; Neurological examinations; Neuromyelitis optica care; Optical coherence tomography,,a lower dose; an NMO attack; clinical trials; future attacks; Monoclonal antibodies; Preventing future attacks.; recent symptoms; Reducing relapses.; relapses; Reversing recent symptoms.; the early stage; Your healthcare,,https://www.mayoclinic.org/diseases-conditions/neuromyelitis-optica/symptoms-causes/syc-20375652
Nickel allergy,,,a nickel allergy; a patch; a patch test; allergens; allergic reactions; The patches; things; tiny amounts; two days; your skin,artificial ultraviolet light; controlled amounts; involves exposing; people; the skin; This treatment; topical or oral steroids; treatment involves; treatment involves exposing; ultraviolet light,,https://www.mayoclinic.org/diseases-conditions/nickel-allergy/symptoms-causes/syc-20351529
Nicotine dependence,30 minutes; developed health conditions; family; health conditions; long-term success; nicotine withdrawal symptoms; one or more serious attempts; physical and mood-related symptoms; smoke-free restaurants; smoking; social activities; stop smoking; the day; the more cigarettes; You can't stop smoking.,a questionnaire; dependence; nicotine; professional; questions; The more cigarettes; the right treatment plan; your degree; Your healthcare; your healthcare professional figure,,at least one serious attempt; counseling; help; medicines; most people; people who smoke; stop; stop smoking; these treatments; your first attempt,children; cravings; nicotine dependence; prevent; prevent nicotine; prevent nicotine dependence; smoking; start using tobacco; The best way; Tobacco; Tobacco cravings; whose parents,https://www.mayoclinic.org/diseases-conditions/nicotine-dependence/symptoms-causes/syc-20351584
Niemann-Pick disease,awkward movements; clumsiness; depression; eye movements; floppiness; Hearing; Hearing loss; learning; Liver; Liver and spleen; Loss; memory; Mental health conditions; muscle control; Muscle weakness,a blood sample; a tiny sample; An eye exam; An MRI; blood; changes; DNA testing; Eye exam; Eye exam.; Genetic testing; Genetic testing.; levels; Magnetic resonance imaging; Magnetic resonance imaging (MRI).; MRI; pregnancy; Prenatal testing; Prenatal testing.; skin; Type A or B.,,"cure; cure exists; disease; exists; exists for Niemann-Pick; infections; manage symptoms; Niemann-Pick disease; No cure; Nutrition therapy; Nutrition therapy.; Oxygen; Oxygen therapy; Oxygen therapy.; physical and occupational therapy; Physical therapy; special foods; Speech; Speech, physical and occupational therapy.; supportive care; symptoms; the diet; the lungs; Treatment; Treatment of symptoms.",,https://www.mayoclinic.org/diseases-conditions/niemann-pick/symptoms-causes/syc-20355887
Nightmare disorder,a pounding heartbeat; a result; anxious; awakening; bed; bedtime; Behavior problems; concentration; Daytime sleepiness; details; distress; dream; dream awakens; dream unfolds; fatigue,(sleep study; a physical exam; any conditions; Exam; Exam.; Nightmare disorder; Nocturnal sleep study; Nocturnal sleep study (polysomnography).; polysomnography; sleep study; Symptoms discussion; Symptoms discussion.; your description; your sleep,,a mental health condition; an underlying medical condition; anxiety treatment; Imagery rehearsal therapy; Imagery rehearsal therapy.; management; Medical treatment; Medical treatment.; Medication; Medication.; nightmares; people; severe nightmares; Stress; Stress management; Stress or anxiety treatment.; the nightmares,"A consistent bedtime routine; a favorite stuffed animal; a happy ending; a night; a night light; a regular, relaxing routine; anxiety; bedtime; comfort measures; its place; light; nightmares; Offer reassurances.; Provide comfort measures.; Put stress in its place.; reassurances; Rewrite the ending.; stress; Talk about the dream.; the dream",https://www.mayoclinic.org/diseases-conditions/nightmare-disorder/symptoms-causes/syc-20353515
Non-Hodgkin lymphoma,armpits; Belly; Belly pain; Chest pain; coughing or trouble; Feeling; Feeling very tired; Fever; loss; Night; Night sweats; pain or swelling; sweats; Swollen lymph nodes; the neck,a bone marrow aspiration; A bone marrow biopsy; a healthcare professional; A healthcare professional checks; a small piece; a spot; a swollen spleen; a thin needle; an exam; groin; imaging tests; liquid bone marrow; liver; lymph nodes; Non-Hodgkin lymphoma diagnosis; some cells; swollen lymph nodes; testing; Tests; The health professional; the hip bone; the neck; the same time; This second procedure; underarms; underarms and groin; your neck,a bone marrow aspiration; a needle; a sample; an infection; biopsy; blood; blood and urine; Bone marrow aspiration; called PET; cells; disease; emission tomography; infection; lymphoma cells; MRI; MRI and positron; other disease; other parts; PET; positron emission tomography; procedures; rule; testing; Tests; the body; the bone marrow; The cells; urine; your blood,"a lab; a treatment; a vein; Bone marrow; Bone marrow transplant; cancer; cancer cells; Cancer treatment; CAR-T cell therapy; cells; Chemotherapy; chemotherapy, immunotherapy and targeted therapy; Chimeric antigen receptor T cell therapy; diseases; germs; Immunotherapy; many chemotherapy medicines; many types; marrow transplant; Mayo Clinic; medicines; Most chemotherapy medicines; non-Hodgkin lymphoma; Non-Hodgkin lymphoma care; Non-Hodgkin lymphoma treatment; other cells; pill form; Radiation; radiation therapy; some white blood cells; specific chemicals; strong medicines; T cells; Targeted therapy; targeted treatments; the blood; the body's immune system; the cancer cells; The cells; the first treatment; The immune system; the immune system cells; The treatments; the types; therapy; these chemicals; this cancer; This treatment; treatment; your healthcare team; your lymphoma",,https://www.mayoclinic.org/diseases-conditions/non-hodgkins-lymphoma/symptoms-causes/syc-20375680
Nonalcoholic fatty liver disease,Abdominal swelling; ascites; breath; discomfort; Enlarged; Enlarged spleen; eyes; Fatigue; feeling; Itchy; Itchy skin; jaundice; legs; malaise; Pain,a blood test; a liver problem; a yearly exam; example; high levels; NAFLD; no symptoms; other reasons; point; tests,"an email preview; any
                            time; blood count; blood fats; blood sugar; Celiac disease screening; Celiac disease screening test; cholesterol; chronic viral hepatitis; Complete blood; Complete blood count; digestive health; disease screening test; Fasting blood; Fasting blood sugar; free and receive; function tests; health innovations; Hemoglobin; Hemoglobin A1C; hepatitis C; how much iron; in-depth guide; Iron studies; Lipid profile; Liver enzyme; news; receive your in-depth; Subscribe for free; your in-depth guide",a healthy diet; exercise; limiting portion sizes; Losing weight; NAFLD; other health problems; Treatment; weight loss; your body weight; your starting weight,a healthy diet; a healthy weight; an OK; at least 150 minutes; blood pressure; calories; Choose a healthy diet.; Eat a healthy diet.; Exercise; Exercise and be more active.; Exercise.; fruits; Keep a healthy weight.; Limit alcohol; Lose weight; Lose weight.; Manage your diabetes.; Protect your liver.; simple sugars and portion sizes; sugary drinks; the number; the week; things; vegetables; weight; your cholesterol and blood pressure; your cholesterol levels; your diabetes; your health care team; your health care team's advice,https://www.mayoclinic.org/diseases-conditions/nonalcoholic-fatty-liver-disease/symptoms-causes/syc-20354567
Nonmelanoma skin cancer,A new growth; A sore; an existing skin spot; back; bleeding; Changes; coming back; Itching; pain; shape; skin; the skin; A cell's DNA; A lot; A personal or family history,A member; a sample; Physical exam; Physical exam.; testing; tissue; your healthcare team,,"a two-stage treatment; cancer; cancer cells; Chemotherapy; Chemotherapy.; cryosurgery; Freezing.; Immunotherapy; Immunotherapy.; light energy; liquid nitrogen; nonmelanoma skin cancer; Photodynamic therapy; Photodynamic therapy.; powerful energy beams; Radiation therapy; Radiation therapy.; some situations; Some small, early-stage nonmelanoma skin cancers; strong medicines",,https://www.mayoclinic.org/diseases-conditions/nonmelanoma-skin-cancer/symptoms-causes/syc-20355397
Noonan syndrome,mild to severe; Noonan syndrome; Noonan syndrome vary; Symptoms; syndrome vary; syndrome vary greatly; the change; the specific gene; These symptoms; vary greatly; a 50% chance; a child; a new changed gene; A parent; chance of passing,ECG; Echocardiogram; EKG; Electrocardiogram; Genetic; Genetic testing; testing,,A health care professional; a history; bruising; Buildup; Certain drugs; early childhood developmental delays; Eye exams; fluid buildup; genital problems; Heart treatment; Heart treatment.; height; low growth rate; Managing learning disabilities; Managing learning disabilities.; one or both testicles; some kinds; Treating low growth rate.; Treatment for bleeding and bruising.; Treatment for fluid buildup.,a family history; children; complications; genetic counseling; Genetic testing; heart disease; Noonan syndrome; proper and ongoing care; the benefits; your doctor or health care team,https://www.mayoclinic.org/diseases-conditions/noonan-syndrome/symptoms-causes/syc-20354422
Obesity,BMI; Body mass index; height; inches; kilograms; meters; multiply weight; obesity; pounds; weight; a combination; body weight; causes; combination; contributing,A general physical exam; A general physical exam.; BMI; BMI and waist; Calculating your BMI .; care at Mayo; Checking for other health problems.; Cholesterol; Cholesterol test; function tests; health problems; Liver function; Liver function tests; Mayo Clinic; Measuring your waist size.; Obesity care; other health problems; Taking your health history.; test; The distance,,"a device; a dietitian, behavioral counselor; a healthy weight; a team; a tube; balloon; Bariatric; Bariatric surgery; Biliopancreatic diversion; BPD/DS; care at Mayo; complications; duodenal switch; gastrectomy; Gastric; Gastric aspirate; Gastric aspirate.; Gastric bypass; health professionals; Hydrogels; Hydrogels.; Intragastric; Intragastric balloon; Mayo Clinic; obesity; Obesity care; obesity treatment; overall health; The goal; the risk",A diet; a food and activity log; a lifestyle; a lot; a record; an inactive lifestyle; calories; Education; Enlisting support.; friends; Inactivity; Inactivity.; Keeping a record.; Learning about your condition.; Liquid calories; Liquid calories.; many calories; many years; more calories; obesity; People; realistic goals; Setting realistic goals.; Sticking to your treatment plan.; support; This record; Unhealthy diet; Unhealthy diet.; weight; your condition; your family; your treatment plan,https://www.mayoclinic.org/diseases-conditions/obesity/symptoms-causes/syc-20375742
Obsessive-compulsive disorder (OCD),a bad thought; a certain way; a crowd; a good thought; a great deal; a hard time; a prayer; a strict routine; aggression; Aggressive or horrific; Aggressive or horrific thoughts; Arranging your canned; both obsessions; certain patterns; Checking,another mental health disorder; anxiety disorders; depression; feelings; obsessive-compulsive personality disorder; OCD; other issues; other mental health disorders; Physical exam; Physical exam.; Psychological evaluation; Psychological evaluation.; schizophrenia; symptoms; the right diagnosis; your doctor; your symptoms; your thoughts,,"a cure; a type; behavioral therapy; brain stimulation; care at Mayo; CBT; CBT therapy; Cognitive behavioral; Cognitive behavioral therapy; control; DBS; Deep brain; Deep brain stimulation; Deep brain stimulation (DBS).; ECT; Electroconvulsive; Electroconvulsive therapy; ERP; ERP therapy principles; Exposure; Full treatment programs; Intensive outpatient and residential treatment programs; long-term, ongoing or more-intensive treatment; magnetic stimulation; many people; Mayo Clinic; Obsessive-compulsive disorder; Obsessive-compulsive disorder treatment; OCD; psychotherapy; response prevention; symptoms; The FDA; The two main treatments; your daily life; your OCD",attention; daily routine; disorder; medicines as directed; methods; no sure way; obsessive-compulsive disorder; OCD; OCD symptoms; other medicines; Pay attention to warning signs.; Practice what you learn.; prevent; prevent obsessive-compulsive; prevent obsessive-compulsive disorder; symptoms; Take your medicines as directed.; the doctor; warning signs; worse and disrupting activities; your daily routine; your doctor; your medicines; your mental health,https://www.mayoclinic.org/diseases-conditions/obsessive-compulsive-disorder/symptoms-causes/syc-20354432
Obstructive sleep apnea,a dry mouth; Awakening; blood pressure; breathing during sleep; daytime sleepiness; Decreased interest; depression; easily upset; Excessive daytime; Excessive daytime sleepiness; gasping or choking; headaches; High blood; High blood pressure; interest in sex,A member; a sleep specialist; an exam; an examination; further evaluation; tests; The physical exam; your condition; your health care team; your symptoms,(sleep study; certain circumstances; equipment; home; Home sleep apnea testing; Home sleep apnea testing.; Mayo Clinic; Obstructive sleep apnea; Obstructive sleep apnea care; Polysomnography; Polysomnography.; sleep study; this sleep study,a full field; a month; air pressure setting; an oral device; breathing; congestion; facial hair; feel claustrophobic; full field; glasses; hair that interferes; high air pressure; masks; Might be good if:; Mouthpiece; move; nasal obstruction; night; obstructive sleep apnea; other masks,a saline nasal spray; aerobic exercise; alcohol; congestion; constriction; Exercise; Exercise.; Lose weight; Lose weight.; sleeping pills; soft palate; some anti-anxiety medicines; stomach; strength training; your airway; your nasal passages; your tongue,https://www.mayoclinic.org/diseases-conditions/obstructive-sleep-apnea/symptoms-causes/syc-20352090
Occupational asthma,a substance; breath; Chest; Chest tightness; Coughing; days; disease; exposure; Itchy or watery; Itchy or watery eyes; long periods; nose; permanent; Runny; Runny nose,a workplace substance; An asthma diagnosis; asthma; occupational asthma; other types; problems; professional; what substance; your healthcare; your symptoms,15-minute; a mist; a peak flow meter; a skin test; a small hand-held device; a suspected chemical; Allergy skin tests; Allergy skin tests.; Challenge test; Challenge test.; Chest X; Chest X-ray.; deep breaths; Occupational asthma; Peak flow measurement; Peak flow measurement.; ray; small amounts; Spirometry; Spirometry.,a substance; an asthma attack; asthma symptoms; progress; symptoms; The goal; the workplace substance; tiny amounts; treatment; your symptoms,"a chemical spill; a flu vaccination; a new chemical; an emergency; anti-inflammatory drugs; any harmful chemicals; Avoid nonsteroidal anti-inflammatory drugs (NSAIDs); chemical spill; chemicals; extra training; Get a flu vaccination.; handle these chemicals; harmful chemicals; If you smoke, quit.; illness; Lose weight; Lose weight.; masks; NSAIDs; obesity",https://www.mayoclinic.org/diseases-conditions/occupational-asthma/symptoms-causes/syc-20375772
Ocular rosacea,a foreign body; a mirror; Blurred; Blurred vision; burning; Dry; Dry eyes; eyelid infections; eyes; Grittiness; light; photophobia; pink eye; Recurrent eye; Red,a diagnosis; an examination; eyelids; No specific tests; ocular rosacea; procedures; your doctor; your eyes; your medical history; your symptoms,,doxycycline; erythromycin; medication and home eye care; Ocular rosacea; oral antibiotics; temporary use; tetracycline; the condition; these steps; Your doctor,artificial tears; at least twice a day; contact lenses; dryness; flare-ups; makeup; Prevent flare-ups; things; types; warm water; your doctor; your eyelids; your eyes; your rosacea; your symptoms,https://www.mayoclinic.org/diseases-conditions/ocular-rosacea/symptoms-causes/syc-20375798
Oligodendroglioma,Balance; Balance problems; behavior; body; Changes; Memory; Memory problems; Numbness; problems; Problems speaking; Problems thinking; Seizures; speaking; the body; thinking,a neurological exam; a sample; biopsy; Brain magnetic resonance; Brain magnetic resonance imaging; examinations; Genetic; Genetic testing; Imaging tests; Imaging tests.; magnetic resonance imaging; MRI; Needle; Needle biopsy; Neurological; Neurological exam; Neurological exam.; Neurological examinations; testing; the brain tumor,,Awake brain; Awake brain surgery; brain surgery; Brain tumor; Brain tumor surgery; Cancer; Cancer treatment; care; Chemotherapy; Chemotherapy.; Clinical trials; Clinical trials.; new treatments; Palliative; palliative care; powerful energy beams; Radiation; Radiation therapy; Radiation therapy.; relief,,https://www.mayoclinic.org/diseases-conditions/oligodendroglioma/symptoms-causes/syc-20576736
Oppositional defiant disorder (ODD),adults; adults' requests; angry; Angry and irritable mood; angry and resentful; Argumentative and defiant behavior; at least two settings; authority; easily annoyed; easily loses temper; follow adults' requests; frequently touchy; hateful things; home; Hurtful and revengeful behavior,behaviors; behaviors occur; communication; different settings; Emotions; Family situations; health; interactions; Issues; learning; managing problem behaviors; Other possible mental health; Overall health; problem behaviors; situations and interactions; Strategies; the behaviors; the child; the family,,A mental health professional; a therapist; appropriate consequences; clear instructions; Cognitive problem-solving therapy; desired behaviors; experience; Giving clear instructions; Individual and family therapy; Individual and family therapy.; Individual therapy; Parent-child interaction therapy; Parent-child interaction therapy (PCIT).; Parenting skills training; Parenting skills training.; PCIT; positive traits; Problem-solving training; Problem-solving training.; Social skills training,a household chore; a positive relationship; a power struggle; a regular daily schedule; a routine; a weekly schedule; Assign a household chore; behavior; Build; Build in time together; challenges; clear instructions; consistent and appropriate discipline procedures; consistent reasonable consequences; early treatment; example; Model the behavior; no sure way; ODD; oppositional defiant disorder; Pick your battles; positive parenting; power struggles; Recognize and praise; Set limits; Set up a routine; social skills; the situation; Treatment; your child's self-esteem,https://www.mayoclinic.org/diseases-conditions/oppositional-defiant-disorder/symptoms-causes/syc-20375831
Oral lichen planus,a short time; affect the mucous; agents applied; areas; give relief; lichen planus; lichen planus affect; numbing agents; numbing agents applied; oral lichen; oral lichen planus; planus affect; relief; skin can give; Symptoms,A biopsy; A biopsy.; A sample; a small tissue sample; Allergy skin; Allergy skin tests; any other places; areas as needed; Blood tests; Blood tests.; cells; conditions; Cultures; Cultures.; medicines you taking; other areas; skin tests; symptoms; the medicines; These tests,,a lifelong condition; a short time; agents applied; areas; give relief; healing; Mild forms; no cure; numbing agents; numbing agents applied; Oral lichen planus; other symptoms; pain; relief; skin can give; the skin; treatment; your condition; Your healthcare professional,"alcohol; Avoid irritants.; Change your diet.; checkups; infection; irritants; Keep your mouth clean.; Learn to manage stress.; other healthcare; skills; spicy, salty or acidic foods; stress; symptoms; tobacco; your dentist; your diet; your mouth; your symptoms",https://www.mayoclinic.org/diseases-conditions/oral-lichen-planus/symptoms-causes/syc-20350869
Oral thrush,A biopsy; A biopsy.; A physical exam; An endoscopic exam; An endoscopic exam.; endoscopy; more tests; the biopsy results; the endoscopic exam; thrush; Upper; Upper endoscopy; your esophagus; Your healthcare professional checks; a balance,depend; diagnosis; diagnosis depend; esophagus; part; The methods; thrush; thrush is limited; your esophagus; your mouth,,Adults; Adults with weakened immune systems.; Babies and nursing mothers; Babies and nursing mothers.; children; Healthy adults; Healthy adults and children.; oral thrush; weakened immune systems; your baby; your healthcare; Your healthcare professional,"2.5 milliliters; a corticosteroid inhaler; a fungal infection; a vaginal yeast infection; about 1/2 teaspoon; Brush; Brush your teeth; Check your dentures.; dentures; diabetes; Disinfect dentures.; dry mouth; foods; good oral care; how much sugar; night; nursing pads; pads; Practice good oral care.; Rinse your mouth.; See your dentist regularly,; sugar; the best way; Treat a vaginal; Treat a vaginal yeast infection; Treat dry mouth.; Try warm saltwater rinses.; Use nursing pads.; vaginal yeast infection; warm saltwater rinses; Watch what you eat.; water; ways; your dental professional; your toothbrush",https://www.mayoclinic.org/diseases-conditions/oral-thrush/symptoms-causes/syc-20353533
Orchitis,called malaise; Feeling ill; Fever; malaise; mild; Nausea; Nausea and vomiting; one or both testicles; Pain; Pain ranging; Swelling; testicles; vomiting; a cause; a condom,A sample; discharge; STI screen; STI screen.; the cause; This imaging test; Ultrasound; Ultrasound.; Urinalysis; Urine test; Urine test.; your urethra; your urine,,depends; orchitis; the cause; Treatment; Treatment depends,bacterial orchitis; bed; cold packs; heavy objects; Lie; lift heavy; lift heavy objects; mumps; Put cold packs; Rest; Rest in bed; safe sex; scrotum is raised; STIs; the most common cause; the vaccine; trouble; urination; your healthcare; your scrotum,https://www.mayoclinic.org/diseases-conditions/orchitis/symptoms-causes/syc-20375860
Osteoarthritis,,,A needle; An MRI; Blood tests; Blood tests.; Cartilage; cartilage loss; fluid; Joint fluid analysis; Joint fluid analysis.; Magnetic resonance imaging; Magnetic resonance imaging (MRI).; MRI; no blood test; osteoarthritis; X-ray images; X-rays.,a low-voltage electrical current; A physical therapist; An occupational therapist; exercises; Occupational therapy; Occupational therapy.; Physical therapy; Physical therapy.; TENS; Transcutaneous electrical nerve stimulation; Transcutaneous electrical nerve stimulation (TENS).; ways,,https://www.mayoclinic.org/diseases-conditions/osteoarthritis/symptoms-causes/syc-20351925
